主食,小吃,汤羹
"大份米饭
(￥1 | 200g: 热量 260kcal 碳水 58.0g 蛋白 6.0g 脂肪 0.5g)","油条
(￥3 | 80g: 热量 320kcal 碳水 38.0g 蛋白 5.0g 脂肪 18.5g)","小米粥
(￥2 | 200g: 热量 90kcal 碳水 20.0g 蛋白 2.5g 脂肪 0.8g)"
"小份米饭
(￥0.5 | 100g: 热量 130kcal 碳水 29.0g 蛋白 3.0g 脂肪 0.3g)","炸油糕
(￥3 | 70g: 热量 290kcal 碳水 40.0g 蛋白 3.5g 脂肪 12.8g)","南瓜粥
(￥2.5 | 200g: 热量 85kcal 碳水 19.0g 蛋白 2.0g 脂肪 0.6g)"
"馒头
(￥1 | 100g: 热量 280kcal 碳水 55.0g 蛋白 8.0g 脂肪 1.2g)","糖糕
(￥2.5 | 60g: 热量 260kcal 碳水 39.0g 蛋白 2.8g 脂肪 10.5g)","紫菜蛋花汤
(￥3 | 150g: 热量 65kcal 碳水 4.5g 蛋白 5.8g 脂肪 3.2g)"
"花卷
(￥1 | 100g: 热量 295kcal 碳水 53.0g 蛋白 7.5g 脂肪 3.8g)","麻团
(￥3 | 75g: 热量 310kcal 碳水 43.0g 蛋白 4.2g 脂肪 14.2g)","鸡蛋豆腐汤
(￥3 | 150g: 热量 70kcal 碳水 5.0g 蛋白 6.5g 脂肪 3.5g)"
"葱油饼
(￥4 | 100g: 热量 350kcal 碳水 42.0g 蛋白 6.5g 脂肪 18.0g)","炸菜角
(￥3 | 85g: 热量 285kcal 碳水 36.5g 蛋白 4.8g 脂肪 13.2g)","青菜豆腐汤
(￥2.5 | 150g: 热量 50kcal 碳水 6.0g 蛋白 4.0g 脂肪 1.8g)"
"玉米馒头
(￥2.5 | 100g: 热量 265kcal 碳水 52.0g 蛋白 7.0g 脂肪 1.0g)","水煎包
(￥3.5 | 90g: 热量 305kcal 碳水 35.2g 蛋白 6.2g 脂肪 15.0g)","胡辣汤
(￥4 | 200g: 热量 180kcal 碳水 32.0g 蛋白 7.5g 脂肪 4.8g)"
,"煎韭菜盒子
(￥4 | 100g: 热量 330kcal 碳水 38.5g 蛋白 5.5g 脂肪 17.5g)","鸡蛋醪糟汤
(￥3.5 | 180g: 热量 120kcal 碳水 25.0g 蛋白 4.5g 脂肪 2.2g)"
,"蛋挞
(￥2.5 | 50g: 热量 160kcal 碳水 15.0g 蛋白 3.2g 脂肪 9.5g)","原味豆浆
(￥2.5 | 250ml: 热量 110kcal 碳水 12.0g 蛋白 7.0g 脂肪 3.5g)"
,,"咸奶茶
(￥4 | 250ml: 热量125kcal 碳水10.5g 蛋白4.8g 脂肪7.2g)"
